excerpt_task_id,letter_id,section_id,chapter_title,excerpt_text,current_placement,review_result,review_notes,reviewer,reviewed_at
excerpt-letter-001-001,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,保定有人下车，移到窗边小桌前坐，可以铺开信纸给您们写几个字了。,core,,,,
excerpt-letter-001-002,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,只是石家庄后，车厢里挤满了人，所以到站停靠时没下车，也看不清“关”在哪里。,core,,,,
excerpt-letter-001-003,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,登了骊山，又扛着衣物跑了6里路赶火车，腿都要折了。,extra,,,,
excerpt-letter-001-004,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,不过，此处的人容貌胜于北京人，也许因为风水好（据说此地鲜有大风沙），也许因为文明的时间比北京更长。,extra,,,,
excerpt-letter-002-001,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,昨晚又与曹君说了一阵话，读了一本福尔摩斯探案。,core,,,,
excerpt-letter-002-002,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,北行不久靠在一个小站，站上的工人告诉说，我们原本乘坐的那辆列车前一天在那里翻到山沟里去了。,core,,,,
excerpt-letter-002-003,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,江油城（中坝）后，进入号称天府之国的成都平原，而景色已无甚可观。,extra,,,,
excerpt-letter-002-004,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,西安人比北京人性情温和，热情周到，多少有点小家气息，不像我们喜欢大而空的排场和风度。,extra,,,,
excerpt-letter-003-001,letter-003,sec-008,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,成都远近郊区覆盖着油菜花，列车飞速冲进一望无际的金灿灿之中。,core,,,,
excerpt-letter-003-002,letter-003,sec-008,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,沿河的狭长地带是望江公园，有一座“吟诗楼”，楼上几个摩登男女，楼下一条油黑的污水，不像能吟出什么好诗的样子，遂未登楼。,core,,,,
excerpt-letter-003-003,letter-003,sec-008,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,攀野路至呼应亭，这是青城山的山顶，不过倒平缓了，还有些农家。,extra,,,,
excerpt-letter-003-004,letter-003,sec-008,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,如今，一面口说着“看穿”一面争些蝇头小利的且不去说他，实有才能的也过早“懂得了生活”，不知是真得了道还是简简单单地怕失败，胸无大志，不图进取，沾沾自喜于一点天赋的才能和琐碎的赞誉，仿佛古之大贤还不如他悟得到处穷的原则。,extra,,,,
excerpt-letter-004-001,letter-004,sec-009,第4封 3月24日~26日 乐山大佛/青衣亭→峨嵋山脚,农家/峨嵋山腰息心所/华严顶/峨嵋绝顶云雾里,core,,,,
excerpt-letter-004-002,letter-004,sec-009,第4封 3月24日~26日 乐山大佛/青衣亭→峨嵋山脚,乐山到峨嵋的末班车上没有几个旅客（虽然不到五点），坐在这么清静的车厢里，怪舒服的，倒嫌旅途太短了。,core,,,,
excerpt-letter-004-003,letter-004,sec-009,第4封 3月24日~26日 乐山大佛/青衣亭→峨嵋山脚,此刻坐在乐山大佛左前方的石栏上，齐佛头高，相距十余米，琢磨了一番，看来爬到大佛眉头是很艰难的。,extra,,,,
excerpt-letter-004-004,letter-004,sec-009,第4封 3月24日~26日 乐山大佛/青衣亭→峨嵋山脚,村姑们又活泼又正派，我们很快像熟人似的有说有笑起来，其中一个像百灵子［插队时邻居家的女孩儿］的，尤殷勤识礼，仿佛古风犹存（不是孙二娘那一类古风），临了祝我“走好，一路平安”。,extra,,,,
excerpt-letter-005-001,letter-005,sec-010,第5封 3月26日~29日 峨嵋车站→成昆线隧道→昆明车站,昨天日行90里，登高2400米到万佛顶。,core,,,,
excerpt-letter-005-002,letter-005,sec-010,第5封 3月26日~29日 峨嵋车站→成昆线隧道→昆明车站,其实火车先已过了金沙江大桥，江也没什么好看。,core,,,,
excerpt-letter-005-003,letter-005,sec-010,第5封 3月26日~29日 峨嵋车站→成昆线隧道→昆明车站,买了到桂林的票，准备坐0:07的411次到金江候189，这有几个好处：有效期长，省一天往宿费，省一元加快费，分两次坐车不至太累，明晚可在金江用晚餐。,extra,,,,
excerpt-letter-005-004,letter-005,sec-010,第5封 3月26日~29日 峨嵋车站→成昆线隧道→昆明车站,大家都不要我买东西，让我怪伤心的，失去了一次报效的机会。,extra,,,,
excerpt-letter-006-001,letter-006,sec-011,第6封 3月31日~4月1日 昆明温泉/西山/石林→贵阳花溪,寄给我家的信想来都读到了，就不重复，接着写下去吧。,core,,,,
excerpt-letter-006-002,letter-006,sec-011,第6封 3月31日~4月1日 昆明温泉/西山/石林→贵阳花溪,花溪是贵阳西南的一条河，沿河风景优美，辟为公园。,core,,,,
excerpt-letter-006-003,letter-006,sec-011,第6封 3月31日~4月1日 昆明温泉/西山/石林→贵阳花溪,在公共场合纳头大睡，醒着的人来看，显系一条赖汉，但在睡者眼里，却是峨嵋的仙云，石林的神岩。,extra,,,,
excerpt-letter-006-004,letter-006,sec-011,第6封 3月31日~4月1日 昆明温泉/西山/石林→贵阳花溪,眼前有两座百余米高的石山，登临望远，可能有趣，但没有去登，只是往前走了几步，登上花溪水库的大坝，大坝那边，两岸略陡，河水益清，无一人行走，若有时间，到那水边去躺一下午才好。,extra,,,,
excerpt-letter-007-001,letter-007,sec-012,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,一直无所用心地向窗外了望，总是回首乱山横的景象。,core,,,,
excerpt-letter-007-002,letter-007,sec-012,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,今起身后先到二十分部借出自行车和雨衣，转回解放桥航运售票处，那位女同志是此间不多的人，百问不厌，只是对情况不甚了了。,core,,,,
excerpt-letter-007-003,letter-007,sec-012,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,下山，沿漓江走到解放桥，又绕回中山路，回寓所来。,extra,,,,
excerpt-letter-007-004,letter-007,sec-012,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,正在想这样的好景致怎么倒没人来拍照，忽然闻到一阵恶臭，四下察看，却见岩缝间一具成人尸骨，将及烂尽。,extra,,,,
excerpt-letter-008-001,letter-008,sec-013,第8封 4月3日~5日 桂林南溪山月岸/叠彩峰/隐山→阳朔,先到码头买到阳朔的船票，吃了午饭，重到七星公园来。,core,,,,
excerpt-letter-008-002,letter-008,sec-013,第8封 4月3日~5日 桂林南溪山月岸/叠彩峰/隐山→阳朔,记得在昆贵线上，独坐一隅，仍听得从车厢里飘来种种政治议论，也有大骂出口的，形形色色的立场都有，在此不一一写下，恐壅君之不识也。,core,,,,
excerpt-letter-008-003,letter-008,sec-013,第8封 4月3日~5日 桂林南溪山月岸/叠彩峰/隐山→阳朔,昨晚下了叠彩山，到隐山去还车，同李君及其大舅子闲聊，这次气氛融洽些。,extra,,,,
excerpt-letter-008-004,letter-008,sec-013,第8封 4月3日~5日 桂林南溪山月岸/叠彩峰/隐山→阳朔,边收拾行装，边和同屋一名广州军区青年干部说话，他是海南岛人，盛赞海南的美好和富饶，引得我很想去走一遭，但说是只有六七月间最好，水果、鱼虾最丰。,extra,,,,
excerpt-letter-009-001,letter-009,sec-014,第9封 4月5日~7日 漓江→阳朔→梧州,我乘的当然是次等游艇，买的是到阳朔的单程，其他游客买联票，下午乘汽车返回桂林。,core,,,,
excerpt-letter-009-002,letter-009,sec-014,第9封 4月5日~7日 漓江→阳朔→梧州,结果与他结伴十分有益，他一路上教我识认各种植物，我用心学，只是太笨，总分不清，觉得南方植物都同橘树差不多，叶子像涂了腊似的闪着绿光。,core,,,,
excerpt-letter-009-003,letter-009,sec-014,第9封 4月5日~7日 漓江→阳朔→梧州,傍晚，向南，过了阳朔大桥，沿东岸散步，四天烟霭浓重，头顶上却是青天白云，借着晚光，看漓江中青山倒影，看水边的凤尾竹，如巨大的文竹，文雅而柔和，这种傍晚是绝对美好的。,extra,,,,
excerpt-letter-009-004,letter-009,sec-014,第9封 4月5日~7日 漓江→阳朔→梧州,难得如此清宁的夜晚，想到街里一同喝一怀，却只有一家铺子开门，只供应“云吞”。,extra,,,,
excerpt-letter-010-001,letter-010,sec-015,第10封 4月7日~8日 梧州西江种种,由于旅店对着汽车站，一早就听到车次广播，先用“白话”说一遍，再用同白话差不多的普通话说一遍。,core,,,,
excerpt-letter-010-002,letter-010,sec-015,第10封 4月7日~8日 梧州西江种种,先过封开（北岸），看上去同梧州一样大，再过都城（右岸），船在罗旁停了一次，看上去是个小地方。,core,,,,
excerpt-letter-010-003,letter-010,sec-015,第10封 4月7日~8日 梧州西江种种,一面挣扎着再睡一会儿，一面恨恨想，宁宿街头，再不可住这样的店了。,extra,,,,
excerpt-letter-010-004,letter-010,sec-015,第10封 4月7日~8日 梧州西江种种,即使身处真情实意之中，人也该有一个机会出离他处熟的环境，中止不断重复的话语，在寂寞中同自己交流，从沉默的方面把生活再体会一遍。,extra,,,,
excerpt-letter-011-001,letter-011,sec-016,第11封 4月8日~9日 肇庆天柱阁,到河口只早上七点有船，不知一天时间逛肇庆和佛山够不够。,core,,,,
excerpt-letter-011-002,letter-011,sec-016,第11封 4月8日~9日 肇庆天柱阁,服务员来，告我不得在此宿夜，我答无钱住店，那女服务员同情，一个老头坚持不可，不想再费口舌，提了提包出来，沿江滨路东行。,core,,,,
excerpt-letter-011-003,letter-011,sec-016,第11封 4月8日~9日 肇庆天柱阁,肇庆的街道还干净相，天亦清阴，不觉太热，走得满心愉快。,extra,,,,
excerpt-letter-011-004,letter-011,sec-016,第11封 4月8日~9日 肇庆天柱阁,这些天真的大孩子充满了生的欢欣，对生存的惊异，于是他们一步踏入了自然的中心，在心灵活动的几乎一切领域，给我们留下不朽的美和智慧。,extra,,,,
excerpt-letter-012-001,letter-012,sec-017,第12封 4月9日~11日 广州中山大学/白云山,坐下来就招蚊子，只好像个幽灵似的荡来荡去。,core,,,,
excerpt-letter-012-002,letter-012,sec-017,第12封 4月9日~11日 广州中山大学/白云山,早知不停佛山，原该坐汽车或乘船到广州，那么昨夜或今晨就到了。,core,,,,
excerpt-letter-012-003,letter-012,sec-017,第12封 4月9日~11日 广州中山大学/白云山,白云山是广州北郊的“大型风景”，再远一点，广州人就到佛山西樵山或肇庆或惠州去。,extra,,,,
excerpt-letter-012-004,letter-012,sec-017,第12封 4月9日~11日 广州中山大学/白云山,一点半，才凉些，可穿长衣，蚊子也不太猖狂，可以在街灯下读Essential English了，愈读愈觉得不可能掌握地道的英语。,extra,,,,
